"otu","kingdom","phylum","class","order","family","genus"
"Otu1619","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halarchaeum"
"Otu1620","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia"
"Otu1621","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter"
"Otu1622","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Salinibacillus"
"Otu1623","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","Desulfurella"
"Otu1624","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"Otu1625","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"Otu1626","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Humibacter"
"Otu1627","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia"
"Otu1628","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella"
"Otu1629","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
"Otu1630","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter"
"Otu1631","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Paludibacterium"
"Otu1632","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"Otu1633","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"Otu1634","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"Otu1635","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"Otu1636","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gelidibacter"
"Otu1637","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga"
"Otu1638","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"Otu1639","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium"
"Otu1640","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus"
"Otu1641","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Hoeflea"
"Otu1642","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobia_subdivision_3","Pedosphaera"
"Otu1643","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"Otu1644","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermodesulfobiaceae","Thermodesulfobium"
"Otu1645","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Candidatus_Paracaedibacteraceae","Candidatus_Odyssella"
"Otu1646","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"Otu1647","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Herbidospora"
"Otu1648","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ketogulonicigenium"
"Otu1649","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum"
"Otu1650","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hellea"
"Otu1651","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiorhodovibrio"
"Otu1652","Bacteria","Proteobacteria","Gammaproteobacteria","","","Wohlfahrtiimonas"
"Otu1653","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azovibrio"
"Otu1654","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pannonibacter"
"Otu1655","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium"
"Otu1656","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Thermosinus"
"Otu1657","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hirschia"
"Otu1658","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella"
"Otu1659","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera"
"Otu1660","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas"
"Otu1661","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"Otu1662","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caldimonas"
"Otu1663","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Otu1664","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Chromohalobacter"
"Otu1665","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter"
"Otu1666","Bacteria","Bacteroidetes","","Bacteroidetes_Order_II","Rhodothermaceae","Rhodothermus"
"Otu1667","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"Otu1668","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"Otu1669","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Eudoraea"
"Otu1670","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Otu1671","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Thalassospira"
"Otu1672","Bacteria","Cyanobacteria","","Nostocales","Rivulariaceae","Rivularia"
"Otu1673","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Alloactinosynnema"
"Otu1674","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"Otu1675","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"Otu1676","Bacteria","Firmicutes","Tissierellia","","","Kallipyga"
"Otu1677","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Nodularia"
"Otu1678","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu1679","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus"
"Otu1680","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Coprobacter"
"Otu1681","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Dinoroseobacter"
"Otu1682","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella"
"Otu1683","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thioclava"
"Otu1684","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira"
"Otu1685","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella"
"Otu1686","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus"
"Otu1687","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga"
"Otu1688","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla"
"Otu1689","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas"
"Otu1690","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus"
"Otu1691","Bacteria","Firmicutes","Bacilli","Bacillales","","Gemella"
"Otu1692","Bacteria","Cyanobacteria","","Nostocales","Microchaetaceae","Hassallia"
"Otu1693","Bacteria","Acidobacteria","Solibacteres","Solibacterales","","Bryobacter"
"Otu1694","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudodonghicola"
"Otu1695","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter"
"Otu1696","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter"
"Otu1697","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas"
"Otu1698","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Verminephrobacter"
"Otu1699","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Salimicrobium"
"Otu1700","Bacteria","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Geodermatophilus"
"Otu1701","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Propionicicella"
"Otu1702","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Candidatus_Endolissoclinum"
"Otu1703","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacter"
"Otu1704","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"Otu1705","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilus"
