"otu","kingdom","phylum","class","order","family","genus"
"Otu0001","Viruses","","","","Phycodnaviridae","Prasinovirus"
"Otu0002","Viruses","","","Caudovirales","Siphoviridae","Sfi1unalikevirus"
"Otu0003","Viruses","","","Herpesvirales","Herpesviridae","Simplexvirus"
"Otu0004","Viruses","","","Caudovirales","Siphoviridae","C2likevirus"
"Otu0005","Viruses","","","","Poxviridae","Parapoxvirus"
"Otu0006","Viruses","","","","Papillomaviridae","Dyolambdapapillomavirus"
"Otu0007","Viruses","","","Caudovirales","Siphoviridae","Bignuzlikevirus"
"Otu0008","Viruses","","","Mononegavirales","Bornaviridae","Bornavirus"
"Otu0009","Viruses","","","","Bicaudaviridae","Bicaudavirus"
"Otu0010","Viruses","","","Picornavirales","Picornaviridae","Aquamavirus"
"Otu0011","Viruses","","","Herpesvirales","Herpesviridae","Scutavirus"
"Otu0012","Viruses","","","Herpesvirales","Herpesviridae","Mardivirus"
"Otu0013","Viruses","","","","Baculoviridae","Deltabaculovirus"
"Otu0014","Viruses","","","","Papillomaviridae","Taupapillomavirus"
"Otu0015","Viruses","","","Caudovirales","Myoviridae","I3likevirus"
"Otu0016","Viruses","","","","Virgaviridae","Furovirus"
"Otu0017","Viruses","","","Herpesvirales","Herpesviridae","Proboscivirus"
"Otu0018","Viruses","","","Herpesvirales","Alloherpesviridae","Ictalurivirus"
"Otu0019","Viruses","","","","Inoviridae","Inovirus"
"Otu0020","Viruses","","","","Marseilleviridae","Marseillevirus"
"Otu0021","Viruses","","","Nidovirales","Coronaviridae","Gammacoronavirus"
"Otu0022","Viruses","","","","Anelloviridae","Thetatorquevirus"
"Otu0023","Viruses","","","","Ascoviridae","Ascovirus"
"Otu0024","Viruses","","","Tymovirales","Tymoviridae","Maculavirus"
"Otu0025","Viruses","","","","","Negevirus"
"Otu0026","Viruses","","","Caudovirales","Myoviridae","Spo1virus"
"Otu0027","Viruses","","","","Circoviridae","Gyrovirus"
"Otu0028","Viruses","","","Mononegavirales","Rhabdoviridae","Novirhabdovirus"
"Otu0029","Viruses","","","Picornavirales","Picornaviridae","Sicinivirus"
"Otu0030","Viruses","","","Mononegavirales","","Pneumovirus"
"Otu0031","Viruses","","","Picornavirales","Picornaviridae","Dicipivirus"
"Otu0032","Viruses","","","","Poxviridae","Molluscipoxvirus"
"Otu0033","Viruses","","","Tymovirales","Tymoviridae","Tymovirus"
"Otu0034","Viruses","","","","Arenaviridae","Mammarenavirus"
"Otu0035","Viruses","","","","Totiviridae","Victorivirus"
"Otu0036","Viruses","","","","Flaviviridae","Hepacivirus"
"Otu0037","Viruses","","","","Poxviridae","Alphaentomopoxvirus"
"Otu0038","Viruses","","","","Anelloviridae","Gammatorquevirus"
"Otu0039","Viruses","","","Tymovirales","Gammaflexiviridae","Mycoflexivirus"
"Otu0040","Viruses","","","","","Tenuivirus"
"Otu0041","Viruses","","","","Hepeviridae","Piscihepevirus"
"Otu0042","Viruses","","","","Virgaviridae","Pomovirus"
"Otu0043","Viruses","","","","Caulimoviridae","Badnavirus"
"Otu0044","Viruses","","","","Polydnaviridae","Ichnovirus"
"Otu0045","Viruses","","","Herpesvirales","Herpesviridae","Percavirus"
"Otu0046","Viruses","","","","Papillomaviridae","Betapapillomavirus"
"Otu0047","Viruses","","","","Togaviridae","Alphavirus"
"Otu0048","Viruses","","","Tymovirales","Betaflexiviridae","Trichovirus"
"Otu0049","Viruses","","","Caudovirales","Podoviridae","Bcep22likevirus"
"Otu0050","Viruses","","","Tymovirales","Alphaflexiviridae","Sclerodarnavirus"
"Otu0051","Viruses","","","","Phycodnaviridae","Coccolithovirus"
"Otu0052","Viruses","","","Ligamenvirales","Lipothrixviridae","Deltalipothrixvirus"
"Otu0053","Viruses","","","","Papillomaviridae","Omikronpapillomavirus"
"Otu0054","Viruses","","","","Retroviridae","Alpharetrovirus"
"Otu0055","Viruses","","","Caudovirales","Siphoviridae","Jerseylikevirus"
"Otu0056","Viruses","","","","Poxviridae","Capripoxvirus"
"Otu0057","Viruses","","","","Poxviridae","Cervidpoxvirus"
"Otu0058","Viruses","","","","","Higrevirus"
"Otu0059","Viruses","","","","Potyviridae","Bymovirus"
"Otu0060","Viruses","","","Caudovirales","Podoviridae","Phikmvlikevirus"
"Otu0061","Viruses","","","Picornavirales","Picornaviridae","Tremovirus"
"Otu0062","Viruses","","","Picornavirales","Secoviridae","Torradovirus"
"Otu0063","Viruses","","","Caudovirales","Siphoviridae","T5likevirus"
"Otu0064","Viruses","","","Nidovirales","Coronaviridae","Bafinivirus"
"Otu0065","Viruses","","","","Baculoviridae","Alphabaculovirus"
"Otu0066","Viruses","","","","Papillomaviridae","Mupapillomavirus"
"Otu0067","Viruses","","","Caudovirales","Siphoviridae","Lambdalikevirus"
"Otu0068","Viruses","","","Caudovirales","Myoviridae","Felixounalikevirus"
"Otu0069","Viruses","","","","Papillomaviridae","Phipapillomavirus"
"Otu0070","Viruses","","","","Papillomaviridae","Omegapapillomavirus"
"Otu0071","Viruses","","","Nidovirales","Coronaviridae","Betacoronavirus"
"Otu0072","Viruses","","","","Luteoviridae","Enamovirus"
"Otu0073","Viruses","","","","Phycodnaviridae","Chlorovirus"
"Otu0074","Viruses","","","","Hypoviridae","Hypovirus"
"Otu0075","Viruses","","","","Anelloviridae","Alphatorquevirus"
"Otu0076","Viruses","","","Picornavirales","Dicistroviridae","Aparavirus"
"Otu0077","Viruses","","","","","Pithovirus"
"Otu0078","Viruses","","","","Phycodnaviridae","Phaeovirus"
"Otu0079","Viruses","","","Picornavirales","Picornaviridae","Hepatovirus"
"Otu0080","Viruses","","","","Virgaviridae","Tobamovirus"
"Otu0081","Viruses","","","Caudovirales","Siphoviridae","Barnyardlikevirus"
"Otu0082","Viruses","","","","Baculoviridae","Betabaculovirus"
"Otu0083","Viruses","","","","Arenaviridae","Arenavirus"
"Otu0084","Viruses","","","Picornavirales","Marnaviridae","Marnavirus"
"Otu0085","Viruses","","","Caudovirales","Myoviridae","P100virus"
"Otu0086","Viruses","","","Caudovirales","Myoviridae","Spounalikevirus"
"Otu0087","Viruses","","","","Partitiviridae","Betapartitivirus"
"Otu0088","Viruses","","","","Reoviridae","Cypovirus"
"Otu0089","Viruses","","","Tymovirales","Betaflexiviridae","Carlavirus"
"Otu0090","Viruses","","","Nidovirales","Coronaviridae","Alphacoronavirus"
"Otu0091","Viruses","","","Mononegavirales","Paramyxoviridae","Avulavirus"
"Otu0092","Viruses","","","Herpesvirales","Herpesviridae","Iltovirus"
"Otu0093","Viruses","","","","Bromoviridae","Bromovirus"
"Otu0094","Viruses","","","","Bunyaviridae","Phlebovirus"
"Otu0095","Viruses","","","","Closteroviridae","Closterovirus"
"Otu0096","Viruses","","","Caudovirales","Myoviridae","Viunalikevirus"
"Otu0097","Viruses","","","Caudovirales","Siphoviridae","Phicbklikevirus"
"Otu0098","Viruses","","","","Fuselloviridae","Alphafusellovirus"
"Otu0099","Viruses","","","","Bunyaviridae","Orthobunyavirus"
"Otu0100","Viruses","","","Picornavirales","Picornaviridae","Sapelovirus"
"Otu0101","Viruses","","","","Bunyaviridae","Tospovirus"
"Otu0102","Viruses","","","","Mimiviridae","Cafeteriavirus"
"Otu0103","Viruses","","","","Poxviridae","Suipoxvirus"
"Otu0104","Viruses","","","","Potyviridae","Potyvirus"
"Otu0105","Viruses","","","Herpesvirales","Herpesviridae","Muromegalovirus"
"Otu0106","Viruses","","","Picornavirales","Picornaviridae","Salivirus"
"Otu0107","Viruses","","","Caudovirales","Podoviridae","N4likevirus"
"Otu0108","Viruses","","","","Retroviridae","Lentivirus"
"Otu0109","Viruses","","","Picornavirales","Secoviridae","Fabavirus"
"Otu0110","Viruses","","","","Polydnaviridae","Bracovirus"
"Otu0111","Viruses","","","Herpesvirales","Herpesviridae","Rhadinovirus"
"Otu0112","Viruses","","","","Luteoviridae","Polerovirus"
"Otu0113","Viruses","","","","Flaviviridae","Pestivirus"
"Otu0114","Viruses","","","","Poxviridae","Betaentomopoxvirus"
"Otu0115","Viruses","","","","Geminiviridae","Begomovirus"
"Otu0116","Viruses","","","Herpesvirales","Alloherpesviridae","Cyprinivirus"
"Otu0117","Viruses","","","Mononegavirales","Nyamiviridae","Nyavirus"
"Otu0118","Viruses","","","","Potyviridae","Rymovirus"
"Otu0119","Viruses","","","","Retroviridae","Betaretrovirus"
"Otu0120","Viruses","","","","Microviridae","Microvirus"
"Otu0121","Viruses","","","Caudovirales","Siphoviridae","Andromedalikevirus"
"Otu0122","Viruses","","","","Iridoviridae","Chloriridovirus"
"Otu0123","Viruses","","","Picornavirales","Picornaviridae","Aphthovirus"
"Otu0124","Viruses","","","","Iridoviridae","Lymphocystivirus"
"Otu0125","Viruses","","","Tymovirales","Alphaflexiviridae","Lolavirus"
"Otu0126","Viruses","","","Caudovirales","Myoviridae","Silviavirus"
"Otu0127","Viruses","","","","Caliciviridae","Vesivirus"
"Otu0128","Viruses","","","","Poxviridae","Avipoxvirus"
"Otu0129","Viruses","","","","","Cilevirus"
"Otu0130","Viruses","","","Mononegavirales","Paramyxoviridae","Rubulavirus"
"Otu0131","Viruses","","","","Chrysoviridae","Chrysovirus"
"Otu0132","Viruses","","","Caudovirales","Myoviridae","Twortlikevirus"
"Otu0133","Viruses","","","","","Emaravirus"
"Otu0134","Viruses","","","","Astroviridae","Avastrovirus"
"Otu0135","Viruses","","","Picornavirales","Secoviridae","Cheravirus"
"Otu0136","Viruses","","","Ligamenvirales","Rudiviridae","Rudivirus"
"Otu0137","Viruses","","","Herpesvirales","Herpesviridae","Varicellovirus"
"Otu0138","Viruses","","","","Polyomaviridae","Polyomavirus"
"Otu0139","Viruses","","","Herpesvirales","Alloherpesviridae","Batrachovirus"
"Otu0140","Viruses","","","Picornavirales","Picornaviridae","Enterovirus"
"Otu0141","Viruses","","","Picornavirales","Secoviridae","Waikavirus"
"Otu0142","Viruses","","","Caudovirales","Myoviridae","T4likevirus"
"Otu0143","Viruses","","","","Poxviridae","Yatapoxvirus"
"Otu0144","Viruses","","","","Adenoviridae","Mastadenovirus"
"Otu0145","Viruses","","","Herpesvirales","Herpesviridae","Cytomegalovirus"
"Otu0146","Viruses","","","Picornavirales","Picornaviridae","Kobuvirus"
"Otu0147","Viruses","","","Caudovirales","Podoviridae","T7likevirus"
"Otu0148","Viruses","","","Herpesvirales","Herpesviridae","Roseolovirus"
"Otu0149","Viruses","","","","Adenoviridae","Aviadenovirus"
"Otu0150","Viruses","","","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus"
"Otu0151","Viruses","","","","Iridoviridae","Ranavirus"
"Otu0152","Viruses","","","","Closteroviridae","Ampelovirus"
"Otu0153","Viruses","","","Caudovirales","Siphoviridae","Phietalikevirus"
"Otu0154","Viruses","","","Caudovirales","Siphoviridae","Pgonelikevirus"
"Otu0155","Viruses","","","","Orthomyxoviridae","Isavirus"
"Otu0156","Viruses","","","","Poxviridae","Orthopoxvirus"
"Otu0157","Viruses","","","","Papillomaviridae","Gammapapillomavirus"
"Otu0158","Viruses","","","","Phycodnaviridae","Prymnesiovirus"
"Otu0159","Viruses","","","","Bunyaviridae","Hantavirus"
"Otu0160","Viruses","","","Picornavirales","Picornaviridae","Senecavirus"
"Otu0161","Viruses","","","Caudovirales","Siphoviridae","L5likevirus"
"Otu0162","Viruses","","","Picornavirales","Dicistroviridae","Cripavirus"
"Otu0163","Viruses","","","Caudovirales","Siphoviridae","Tunalikevirus"
"Otu0164","Viruses","","","","Hytrosaviridae","Muscavirus"
"Otu0165","Viruses","","","Herpesvirales","Herpesviridae","Macavirus"
"Otu0166","Viruses","","","","Bromoviridae","Oleavirus"
"Otu0167","Viruses","","","","Closteroviridae","Crinivirus"
"Otu0168","Viruses","","","","Papillomaviridae","Lambdapapillomavirus"
"Otu0169","Viruses","","","","Papillomaviridae","Alphapapillomavirus"
"Otu0170","Viruses","","","","Partitiviridae","Alphapartitivirus"
"Otu0171","Viruses","","","","Mimiviridae","Mimivirus"
"Otu0172","Viruses","","","Herpesvirales","Malacoherpesviridae","Ostreavirus"
"Otu0173","Viruses","","","Mononegavirales","","Metapneumovirus"
"Otu0174","Viruses","","","Tymovirales","Alphaflexiviridae","Potexvirus"
"Otu0175","Viruses","","","Caudovirales","Siphoviridae","Sfi21dtunalikevirus"
"Otu0176","Viruses","","","","Retroviridae","Gammaretrovirus"
"Otu0177","Viruses","","","","Circoviridae","Circovirus"
"Otu0178","Viruses","","","Tymovirales","Betaflexiviridae","Foveavirus"
"Otu0179","Viruses","","","Picornavirales","Secoviridae","Nepovirus"
"Otu0180","Viruses","","","Picornavirales","Iflaviridae","Iflavirus"
"Otu0181","Viruses","","","","Iridoviridae","Iridovirus"
"Otu0182","Viruses","","","","Flaviviridae","Flavivirus"
"Otu0183","Viruses","","","","Astroviridae","Mamastrovirus"
"Otu0184","Viruses","","","","Virgaviridae","Pecluvirus"
"Otu0185","Viruses","","","Nidovirales","Roniviridae","Okavirus"
"Otu0186","Viruses","","","","","Bacilladnavirus"
"Otu0187","Viruses","","","","Bromoviridae","Cucumovirus"
"Otu0188","Viruses","","","Herpesvirales","Herpesviridae","Lymphocryptovirus"
"Otu0189","Viruses","","","","Nimaviridae","Whispovirus"
"Otu0190","Viruses","","","","Hytrosaviridae","Glossinavirus"
"Otu0191","Viruses","","","","Virgaviridae","Hordeivirus"
"Otu0192","Viruses","","","Caudovirales","Siphoviridae","Skunalikevirus"
"Otu0193","Viruses","","","Caudovirales","Myoviridae","Cp220likevirus"
"Otu0194","Viruses","","","Tymovirales","Tymoviridae","Marafivirus"
"Otu0195","Viruses","","","Caudovirales","Myoviridae","Phikzlikevirus"
"Otu0196","Viruses","","","Caudovirales","Myoviridae","Cp8unalikevirus"
"Otu0197","Viruses","","","Caudovirales","Myoviridae","PhiCD119likevirus"
"Otu0198","Viruses","","","","Papillomaviridae","Pipapillomavirus"
"Otu0199","Viruses","","","Picornavirales","Picornaviridae","Megrivirus"
"Otu0200","Viruses","","","Caudovirales","Myoviridae","Kayvirus"
"Otu0201","Viruses","","","Caudovirales","Siphoviridae","C5likevirus"
"Otu0202","Viruses","","","","Endornaviridae","Endornavirus"
"Otu0203","Viruses","","","","Reoviridae","Orbivirus"
"Otu0204","Viruses","","","","Adenoviridae","Atadenovirus"
"Otu0205","Viruses","","","","Orthomyxoviridae","Influenzavirus_C"
"Otu0206","Viruses","","","Tymovirales","Alphaflexiviridae","Botrexvirus"
"Otu0207","Viruses","","","","Poxviridae","Leporipoxvirus"
"Otu0208","Viruses","","","Caudovirales","Podoviridae","Phi29likevirus"
"Otu0209","Viruses","","","","Parvoviridae","Erythroparvovirus"
"Otu0210","Viruses","","","Caudovirales","Myoviridae","Schizot4likevirus"
"Otu0211","Viruses","","","","Baculoviridae","Gammabaculovirus"
"Otu0212","Viruses","","","Caudovirales","Siphoviridae","Yualikevirus"
"Otu0213","Viruses","","","Picornavirales","Picornaviridae","Cosavirus"
"Otu0214","Viruses","","","","Ampullaviridae","Ampullavirus"
"Otu0215","Viruses","","","","Tectiviridae","Tectivirus"
"Otu0216","Viruses","","","","Caulimoviridae","Cavemovirus"
"Otu0217","Viruses","","","","Anelloviridae","Epsilontorquevirus"
"Otu0218","Viruses","","","","Papillomaviridae","Deltapapillomavirus"
"Otu0219","Viruses","","","","Parvoviridae","Iteradensovirus"
"Otu0220","Viruses","","","Mononegavirales","Rhabdoviridae","Ephemerovirus"
"Otu0221","Viruses","","","","Poxviridae","Crocodylidpoxvirus"
"Otu0222","Viruses","","","","Anelloviridae","Betatorquevirus"
"Otu0223","Viruses","","","","Turriviridae","Alphaturrivirus"
"Otu0224","Viruses","","","","Caulimoviridae","Caulimovirus"
"Otu0225","Viruses","","","Caudovirales","Siphoviridae","P23likevirus"
"Otu0226","Viruses","","","Caudovirales","Myoviridae","Pbunalikevirus"
"Otu0227","Viruses","","","","Globuloviridae","Globulovirus"
"Otu0228","Viruses","","","","Reoviridae","Fijivirus"
"Otu0229","Viruses","","","","Reoviridae","Phytoreovirus"
"Otu0230","Viruses","","","","Benyviridae","Benyvirus"
"Otu0231","Viruses","","","","Parvoviridae","Protoparvovirus"
"Otu0232","Viruses","","","","Asfarviridae","Asfivirus"
"Otu0233","Viruses","","","","Luteoviridae","Luteovirus"
"Otu0234","Viruses","","","Mononegavirales","Paramyxoviridae","Respirovirus"
"Otu0235","Viruses","","","Mononegavirales","Filoviridae","Marburgvirus"
"Otu0236","Viruses","","","","Fuselloviridae","Betafusellovirus"
"Otu0237","Viruses","","","Picornavirales","Picornaviridae","Pasivirus"
"Otu0238","Viruses","","","","Bromoviridae","Alfamovirus"
"Otu0239","Viruses","","","Caudovirales","Podoviridae","Sp6likevirus"
"Otu0240","Viruses","","","Nidovirales","Coronaviridae","Deltacoronavirus"
"Otu0241","Viruses","","","","Inoviridae","Plectrovirus"
"Otu0242","Viruses","","","Picornavirales","Secoviridae","Sadwavirus"
"Otu0243","Viruses","","","Mononegavirales","Paramyxoviridae","Morbillivirus"
"Otu0244","Viruses","","","Mononegavirales","","Orthopneumovirus"
"Otu0245","Viruses","","","Caudovirales","Siphoviridae","3alikevirus"
"Otu0246","Viruses","","","Tymovirales","Alphaflexiviridae","Mandarivirus"
"Otu0247","Viruses","","","","Togaviridae","Rubivirus"
"Otu0248","Viruses","","","Tymovirales","Betaflexiviridae","Vitivirus"
"Otu0249","Viruses","","","Caudovirales","Siphoviridae","Xp10likevirus"
"Otu0250","Viruses","","","","Sphaerolipoviridae","Alphasphaerolipovirus"
"Otu0251","Viruses","","","Caudovirales","Myoviridae","Hpunalikevirus"
"Otu0252","Viruses","","","","Parvoviridae","Brevidensovirus"
"Otu0253","Viruses","","","","Papillomaviridae","Dyoetapapillomavirus"
"Otu0254","Viruses","","","Caudovirales","Siphoviridae","Sap6likevirus"
"Otu0255","Viruses","","","Caudovirales","Siphoviridae","Che9clikevirus"
"Otu0256","Viruses","","","","Caulimoviridae","Rosadnavirus"
"Otu0257","Viruses","","","","Caulimoviridae","Solendovirus"
"Otu0258","Viruses","","","","Sphaerolipoviridae","Gammasphaerolipovirus"
"Otu0259","Viruses","","","Caudovirales","Siphoviridae","Phijlunalikevirus"
"Otu0260","Viruses","","","Caudovirales","Myoviridae","P2likevirus"
"Otu0261","Viruses","","","","Flaviviridae","Pegivirus"
"Otu0262","Viruses","","","","Adenoviridae","Siadenovirus"
"Otu0263","Viruses","","","","Parvoviridae","Copiparvovirus"
"Otu0264","Viruses","","","","Anelloviridae","Iotatorquevirus"
"Otu0265","Viruses","","","Caudovirales","Myoviridae","Hapunalikevirus"
"Otu0266","Viruses","","","Caudovirales","Siphoviridae","N15likevirus"
"Otu0267","Viruses","","","","Retroviridae","Epsilonretrovirus"
"Otu0268","Viruses","","","Mononegavirales","Paramyxoviridae","Henipavirus"
"Otu0269","Viruses","","","","Reoviridae","Rotavirus"
"Otu0270","Viruses","","","Ligamenvirales","Lipothrixviridae","Gammalipothrixvirus"
"Otu0271","Viruses","","","","Reoviridae","Mimoreovirus"
"Otu0272","Viruses","","","Mononegavirales","Rhabdoviridae","Vesiculovirus"
"Otu0273","Viruses","","","Mononegavirales","Rhabdoviridae","Lyssavirus"
"Otu0274","Viruses","","","","Hepadnaviridae","Orthohepadnavirus"
"Otu0275","Viruses","","","","Parvoviridae","Dependoparvovirus"
"Otu0276","Viruses","","","Tymovirales","Alphaflexiviridae","Allexivirus"
"Otu0277","Viruses","","","Picornavirales","Picornaviridae","Parechovirus"
"Otu0278","Viruses","","","Nidovirales","Mesoniviridae","Alphamesonivirus"
"Otu0279","Viruses","","","Caudovirales","Siphoviridae","Corndoglikevirus"
"Otu0280","Viruses","","","","Tombusviridae","Carmovirus"
"Otu0281","Viruses","","","","Parvoviridae","Ambidensovirus"
"Otu0282","Viruses","","","","","Sobemovirus"
"Otu0283","Viruses","","","Picornavirales","Secoviridae","Comovirus"
"Otu0284","Viruses","","","Mononegavirales","Filoviridae","Ebolavirus"
"Otu0285","Viruses","","","","Geminiviridae","Mastrevirus"
"Otu0286","Viruses","","","","","Polemovirus"
"Otu0287","Viruses","","","Picornavirales","Picornaviridae","Passerivirus"
"Otu0288","Viruses","","","","Leviviridae","Levivirus"
"Otu0289","Viruses","","","Picornavirales","Picornaviridae","Rosavirus"
"Otu0290","Viruses","","","","Retroviridae","Deltaretrovirus"
"Otu0291","Viruses","","","Mononegavirales","Paramyxoviridae","Aquaparamyxovirus"
"Otu0292","Viruses","","","","Parvoviridae","Hepandensovirus"
"Otu0293","Viruses","","","Caudovirales","Podoviridae","Phieco32likevirus"
"Otu0294","Viruses","","","","Reoviridae","Aquareovirus"
"Otu0295","Viruses","","","","Bromoviridae","Ilarvirus"
"Otu0296","Viruses","","","","Nanoviridae","Nanovirus"
"Otu0297","Viruses","","","","Totiviridae","Trichomonasvirus"
"Otu0298","Viruses","","","","Nanoviridae","Babuvirus"
"Otu0299","Viruses","","","","Papillomaviridae","Dyoomikronpapillomavirus"
"Otu0300","Viruses","","","","Caulimoviridae","Soymovirus"
"Otu0301","Viruses","","","","Tombusviridae","Tombusvirus"
"Otu0302","Viruses","","","","Totiviridae","Leishmaniavirus"
"Otu0303","Viruses","","","Caudovirales","Siphoviridae","Phic3unalikevirus"
"Otu0304","Viruses","","","","Parvoviridae","Bocaparvovirus"
"Otu0305","Viruses","","","Caudovirales","Siphoviridae","Hk578likevirus"
"Otu0306","Viruses","","","Caudovirales","Siphoviridae","Tm4likevirus"
"Otu0307","Viruses","","","Caudovirales","Siphoviridae","Che8likevirus"
"Otu0308","Viruses","","","","Tombusviridae","Panicovirus"
"Otu0309","Viruses","","","","Papillomaviridae","Nupapillomavirus"
"Otu0310","Viruses","","","","Orthomyxoviridae","Influenzavirus_A"
"Otu0311","Viruses","","","Caudovirales","Podoviridae","Ahjdlikevirus"
"Otu0312","Viruses","","","Caudovirales","Podoviridae","Luz24likevirus"
"Otu0313","Viruses","","","","Anelloviridae","Zetatorquevirus"
"Otu0314","Viruses","","","","Barnaviridae","Barnavirus"
"Otu0315","Viruses","","","","Parvoviridae","Tetraparvovirus"
"Otu0316","Viruses","","","","Narnaviridae","Mitovirus"
"Otu0317","Viruses","","","Caudovirales","Siphoviridae","Charlielikevirus"
"Otu0318","Viruses","","","Nidovirales","Arteriviridae","Arterivirus"
"Otu0319","Viruses","","","Mononegavirales","Rhabdoviridae","Perhabdovirus"
"Otu0320","Viruses","","","","Potyviridae","Ipomovirus"
"Otu0321","Viruses","","","","Geminiviridae","Curtovirus"
"Otu0322","Viruses","","","Picornavirales","Picornaviridae","Gallivirus"
"Otu0323","Viruses","","","Caudovirales","Siphoviridae","Iebhlikevirus"
"Otu0324","Viruses","","","Caudovirales","Myoviridae","Mulikevirus"
"Otu0325","Viruses","","","Picornavirales","","Bacillarnavirus"
"Otu0326","Viruses","","","","Megabirnaviridae","Megabirnavirus"
"Otu0327","Viruses","","","","Corticoviridae","Corticovirus"
"Otu0328","Viruses","","","","Bunyaviridae","Nairovirus"
"Otu0329","Viruses","","","","Caulimoviridae","Tungrovirus"
"Otu0330","Viruses","","","","Retroviridae","Spumavirus"
"Otu0331","Viruses","","","","Reoviridae","Mycoreovirus"
"Otu0332","Viruses","","","Caudovirales","Myoviridae","Bcep78likevirus"
"Otu0333","Viruses","","","","","Idaeovirus"
"Otu0334","Viruses","","","","Narnaviridae","Narnavirus"
"Otu0335","Viruses","","","","Reoviridae","Coltivirus"
"Otu0336","Viruses","","","","Totiviridae","Totivirus"
"Otu0337","Viroids","","","","Pospiviroidae","Cocadviroid"
"Otu0338","Viruses","","","Caudovirales","Siphoviridae","Chilikevirus"
"Otu0339","Viruses","","","","Potyviridae","Tritimovirus"
"Otu0340","Viruses","","","","Papillomaviridae","Kappapapillomavirus"
"Otu0341","Viruses","","","","Reoviridae","Dinovernavirus"
"Otu0342","Viruses","","","","Anelloviridae","Kappatorquevirus"
"Otu0343","Viruses","","","","Potyviridae","Poacevirus"
"Otu0344","Viruses","","","","Iridoviridae","Megalocytivirus"
"Otu0345","Viruses","","","Mononegavirales","Rhabdoviridae","Nucleorhabdovirus"
"Otu0346","Viruses","","","Mononegavirales","Rhabdoviridae","Tibrovirus"
"Otu0347","Viruses","","","","Closteroviridae","Velarivirus"
"Otu0348","Viruses","","","","Papillomaviridae","Rhopapillomavirus"
"Otu0349","Viruses","","","Tymovirales","Betaflexiviridae","Capillovirus"
"Otu0350","Viruses","","","","","Varicosavirus"
"Otu0351","Viruses","","","","Hepadnaviridae","Avihepadnavirus"
"Otu0352","Viruses","","","Caudovirales","Siphoviridae","Bronlikevirus"
"Otu0353","Viroids","","","","Pospiviroidae","Coleviroid"
"Otu0354","Viroids","","","","Avsunviroidae","Pelamoviroid"
"Otu0355","Viruses","","","Caudovirales","Podoviridae","Bppunalikevirus"
"Otu0356","Viruses","","","Caudovirales","Siphoviridae","D3likevirus"
"Otu0357","Viruses","","","","Caliciviridae","Norovirus"
"Otu0358","Viruses","","","","Leviviridae","Allolevivirus"
"Otu0359","Viruses","","","","Microviridae","Bdellomicrovirus"
"Otu0360","Viruses","","","Caudovirales","Siphoviridae","Omegalikevirus"
"Otu0361","Viruses","","","Picornavirales","Picornaviridae","Sakobuvirus"
"Otu0362","Viruses","","","","Plasmaviridae","Plasmavirus"
"Otu0363","Viroids","","","","Pospiviroidae","Apscaviroid"
"Otu0364","Viruses","","","Caudovirales","Siphoviridae","Pbiunalikevirus"
"Otu0365","Viruses","","","","Microviridae","Spiromicrovirus"
"Otu0366","Viruses","","","","Papillomaviridae","Dyopipapillomavirus"
"Otu0367","Viruses","","","Caudovirales","Siphoviridae","Cjwunalikevirus"
"Otu0368","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia"
"Otu0369","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Ammonifex"
"Otu0370","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella"
"Otu0371","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Owenweeksia"
"Otu0372","Bacteria","","","Haloplasmatales","Haloplasmataceae","Haloplasma"
"Otu0373","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina"
"Otu0374","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Siccibacter"
"Otu0375","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Asaia"
"Otu0376","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Parvibaculum"
"Otu0377","Bacteria","Cyanobacteria","","Chroococcales","","Neosynechococcus"
"Otu0378","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Zymomonas"
"Otu0379","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Sulfuritalea"
"Otu0380","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kutzneria"
"Otu0381","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium"
"Otu0382","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","Methyloceanibacter"
"Otu0383","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus"
"Otu0384","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseivivax"
"Otu0385","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena"
"Otu0386","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halobiforma"
